Team 1,Team 2,Winner,Margin,Ground,Match Date,Year,Scorecard
b'Mum Indians',b'Sunrisers',b'Sunrisers',b'15 runs',b'Dubai (DSC)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729317.html'
b'Super Kings',b'KKR',b'Super Kings',b'34 runs',b'Ranchi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733971.html'
b'Mum Indians',b'Kings XI',b'Mum Indians',b'5 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733973.html'
b'Daredevils',b'Royals',b'Royals',b'7 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733975.html'
b'RCB',b'Sunrisers',b'RCB',b'4 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733977.html'
b'Royals',b'KKR',b'Royals',b'10 runs',b'Ahmedabad',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733979.html'
b'Daredevils',b'Super Kings',b'Super Kings',b'8 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733981.html'
b'Mum Indians',b'RCB',b'Mum Indians',b'19 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733983.html'
b'Daredevils',b'KKR',b'KKR',b'8 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733985.html'
b'Kings XI',b'Super Kings',b'Kings XI',b'44 runs',b'Cuttack',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733987.html'
b'Royals',b'Sunrisers',b'Sunrisers',b'32 runs',b'Ahmedabad',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733989.html'
b'RCB',b'Kings XI',b'Kings XI',b'32 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733991.html'
b'Daredevils',b'Sunrisers',b'Sunrisers',b'8 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733993.html'
b'Mum Indians',b'Super Kings',b'Super Kings',b'4 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733995.html'
b'Kings XI',b'KKR',b'KKR',b'9 wickets',b'Cuttack',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733997.html'
b'RCB',b'Royals',b'Royals',b'5 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733999.html'
b'Sunrisers',b'Mum Indians',b'Mum Indians',b'7 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734001.html'
b'Super Kings',b'Royals',b'Super Kings',b'5 wickets',b'Ranchi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734003.html'
b'RCB',b'Daredevils',b'RCB',b'16 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734005.html'
b'Sunrisers',b'Kings XI',b'Kings XI',b'6 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734007.html'
b'KKR',b'Mum Indians',b'KKR',b'6 wickets',b'Cuttack',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734009.html'
b'Royals',b'Daredevils',b'Royals',b'62 runs',b'Ahmedabad',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734011.html'
b'Super Kings',b'RCB',b'RCB',b'5 wickets',b'Ranchi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734013.html'
b'Sunrisers',b'KKR',b'KKR',b'7 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734015.html'
b'Royals',b'Mum Indians',b'Mum Indians',b'25 runs',b'Ahmedabad',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734017.html'
b'Daredevils',b'Kings XI',b'Kings XI',b'4 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734019.html'
b'Sunrisers',b'RCB',b'Sunrisers',b'7 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734021.html'
b'KKR',b'Super Kings',b'KKR',b'8 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734023.html'
b'Kings XI',b'Mum Indians',b'Mum Indians',b'7 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734025.html'
b'KKR',b'RCB',b'KKR',b'30 runs',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734027.html'
b'Super Kings',b'Sunrisers',b'Sunrisers',b'6 wickets',b'Ranchi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734029.html'
b'Mum Indians',b'Daredevils',b'Mum Indians',b'15 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734031.html'
b'Kings XI',b'Royals',b'Kings XI',b'16 runs',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734033.html'
b'RCB',b'Super Kings',b'Super Kings',b'8 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734035.html'
b'KKR',b'Sunrisers',b'KKR',b'4 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734037.html'
b'Kings XI',b'Daredevils',b'Kings XI',b'7 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734039.html'
b'Mum Indians',b'Royals',b'Mum Indians',b'5 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734041.html'
b'Kings XI',b'KKR',b'KKR',b'28 runs',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734043.html'
b'Super Kings',b'Mum Indians',b'Super Kings',b'7 wickets',b'Mumbai (BS)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734045.html'
b'Super Kings',b'Kings XI',b'Kings XI',b'24 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734047.html'
b'KKR',b'Kings XI',b'KKR',b'3 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734049.html'
b'KKR',b'Daredevils',b'KKR',b'6 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/597998.html'
b'RCB',b'Mum Indians',b'RCB',b'2 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/597999.html'
b'Sunrisers',b'Warriors',b'Sunrisers',b'22 runs',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598000.html'
b'Daredevils',b'Royals',b'Royals',b'5 runs',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598001.html'
b'Super Kings',b'Mum Indians',b'Mum Indians',b'9 runs',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598002.html'
b'Warriors',b'Kings XI',b'Kings XI',b'8 wickets',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598003.html'
b'Sunrisers',b'RCB',b'tied',b'',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598004.html'
b'Royals',b'KKR',b'Royals',b'19 runs',b'Jaipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598005.html'
b'RCB',b'Sunrisers',b'RCB',b'7 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598048.html'
b'Mum Indians',b'Daredevils',b'Mum Indians',b'44 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598006.html'
b'Kings XI',b'Super Kings',b'Super Kings',b'10 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598007.html'
b'RCB',b'KKR',b'RCB',b'8 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598008.html'
b'Warriors',b'Royals',b'Warriors',b'7 wickets',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598009.html'
b'Daredevils',b'Sunrisers',b'Sunrisers',b'3 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598010.html'
b'Mum Indians',b'Warriors',b'Mum Indians',b'41 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598011.html'
b'Super Kings',b'RCB',b'Super Kings',b'4 wickets',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598012.html'
b'KKR',b'Sunrisers',b'KKR',b'48 runs',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598013.html'
b'Royals',b'Kings XI',b'Royals',b'6 wickets',b'Jaipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598014.html'
b'Super Kings',b'Warriors',b'Warriors',b'24 runs',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598015.html'
b'Kings XI',b'KKR',b'Kings XI',b'4 runs',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598016.html'
b'RCB',b'Daredevils',b'tied',b'',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598017.html'
b'Warriors',b'Sunrisers',b'Sunrisers',b'11 runs',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598018.html'
b'Royals',b'Mum Indians',b'Royals',b'87 runs',b'Jaipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598019.html'
b'Daredevils',b'Super Kings',b'Super Kings',b'86 runs',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598020.html'
b'Sunrisers',b'Kings XI',b'Sunrisers',b'5 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598021.html'
b'KKR',b'Super Kings',b'Super Kings',b'4 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598022.html'
b'RCB',b'Royals',b'RCB',b'7 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598023.html'
b'Daredevils',b'Mum Indians',b'Daredevils',b'9 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598024.html'
b'Kings XI',b'Warriors',b'Kings XI',b'7 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598025.html'
b'Super Kings',b'Royals',b'Super Kings',b'5 wickets',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598026.html'
b'RCB',b'Warriors',b'RCB',b'130 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598027.html'
b'Daredevils',b'Kings XI',b'Kings XI',b'5 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598059.html'
b'KKR',b'Mum Indians',b'Mum Indians',b'5 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598029.html'
b'Super Kings',b'Sunrisers',b'Super Kings',b'5 wickets',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598030.html'
b'KKR',b'Kings XI',b'KKR',b'6 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598031.html'
b'Royals',b'Sunrisers',b'Royals',b'8 wickets',b'Jaipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598032.html'
b'Mum Indians',b'RCB',b'Mum Indians',b'58 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598033.html'
b'Super Kings',b'KKR',b'Super Kings',b'14 runs',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598034.html'
b'Daredevils',b'Warriors',b'Daredevils',b'15 runs',b'Raipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598035.html'
b'Royals',b'RCB',b'Royals',b'4 wickets',b'Jaipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598036.html'
b'Mum Indians',b'Kings XI',b'Mum Indians',b'4 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598037.html'
b'Warriors',b'Super Kings',b'Super Kings',b'37 runs',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598038.html'
b'Sunrisers',b'Mum Indians',b'Sunrisers',b'7 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598039.html'
b'Daredevils',b'KKR',b'Daredevils',b'7 wickets',b'Raipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598040.html'
b'Super Kings',b'Kings XI',b'Super Kings',b'15 runs',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598041.html'
b'Warriors',b'RCB',b'RCB',b'17 runs',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598042.html'
b'KKR',b'Royals',b'KKR',b'8 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598043.html'
b'Sunrisers',b'Daredevils',b'Sunrisers',b'6 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598044.html'
b'Mum Indians',b'Super Kings',b'Mum Indians',b'60 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598046.html'
b'Royals',b'Warriors',b'Royals',b'5 wickets',b'Jaipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598047.html'
b'Kings XI',b'RCB',b'Kings XI',b'6 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598064.html'
b'Royals',b'Daredevils',b'Royals',b'9 wickets',b'Jaipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598049.html'
b'Mum Indians',b'KKR',b'Mum Indians',b'65 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598050.html'
b'Sunrisers',b'Super Kings',b'Super Kings',b'77 runs',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598051.html'
b'Kings XI',b'Royals',b'Royals',b'8 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598052.html'
b'Warriors',b'KKR',b'KKR',b'46 runs',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598053.html'
b'Daredevils',b'RCB',b'RCB',b'4 runs',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598054.html'
b'Warriors',b'Mum Indians',b'Mum Indians',b'5 wickets',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598055.html'
b'Kings XI',b'Sunrisers',b'Sunrisers',b'30 runs',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598056.html'
b'KKR',b'RCB',b'KKR',b'5 wickets',b'Ranchi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598057.html'
b'Royals',b'Super Kings',b'Royals',b'5 wickets',b'Jaipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598058.html'
b'Mum Indians',b'Sunrisers',b'Mum Indians',b'7 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598060.html'
b'RCB',b'Kings XI',b'Kings XI',b'7 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598045.html'
b'Super Kings',b'Daredevils',b'Super Kings',b'33 runs',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598062.html'
b'KKR',b'Warriors',b'Warriors',b'7 runs',b'Ranchi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598061.html'
b'Mum Indians',b'Royals',b'Mum Indians',b'14 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598063.html'
b'Kings XI',b'Daredevils',b'Kings XI',b'7 runs',b'Dharamsala',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598028.html'
b'Sunrisers',b'Royals',b'Sunrisers',b'23 runs',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598065.html'
b'Kings XI',b'Mum Indians',b'Kings XI',b'50 runs',b'Dharamsala',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598066.html'
b'RCB',b'Super Kings',b'RCB',b'24 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598068.html'
b'Warriors',b'Daredevils',b'Warriors',b'38 runs',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598067.html'
b'Sunrisers',b'KKR',b'Sunrisers',b'5 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598069.html'
b'Super Kings',b'Mum Indians',b'Super Kings',b'48 runs',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598070.html'
b'Royals',b'Sunrisers',b'Royals',b'4 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598071.html'
b'Mum Indians',b'Royals',b'Mum Indians',b'4 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598072.html'
b'Super Kings',b'Mum Indians',b'Mum Indians',b'23 runs',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598073.html'
b'Super Kings',b'Mum Indians',b'Mum Indians',b'8 wickets',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548306.html'
b'KKR',b'Daredevils',b'Daredevils',b'8 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548307.html'
b'Mum Indians',b'Warriors',b'Warriors',b'28 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548308.html'
b'Royals',b'Kings XI',b'Royals',b'31 runs',b'Jaipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548309.html'
b'RCB',b'Daredevils',b'RCB',b'20 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548310.html'
b'Chargers',b'Super Kings',b'Super Kings',b'74 runs',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548311.html'
b'Royals',b'KKR',b'Royals',b'22 runs',b'Jaipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548312.html'
b'Warriors',b'Kings XI',b'Warriors',b'22 runs',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548313.html'
b'Chargers',b'Mum Indians',b'Mum Indians',b'5 wickets',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548314.html'
b'RCB',b'KKR',b'KKR',b'42 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548315.html'
b'Daredevils',b'Super Kings',b'Daredevils',b'8 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548316.html'
b'Mum Indians',b'Royals',b'Mum Indians',b'27 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548317.html'
b'Super Kings',b'RCB',b'Super Kings',b'5 wickets',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548318.html'
b'Kings XI',b'Warriors',b'Kings XI',b'7 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548319.html'
b'KKR',b'Royals',b'KKR',b'5 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548320.html'
b'Warriors',b'Super Kings',b'Warriors',b'7 wickets',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548322.html'
b'KKR',b'Kings XI',b'Kings XI',b'2 runs',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548323.html'
b'RCB',b'Royals',b'Royals',b'59 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548324.html'
b'Mum Indians',b'Daredevils',b'Daredevils',b'7 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548325.html'
b'Royals',b'Chargers',b'Royals',b'5 wickets',b'Jaipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548326.html'
b'RCB',b'Warriors',b'RCB',b'6 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548327.html'
b'Kings XI',b'KKR',b'KKR',b'8 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548328.html'
b'Daredevils',b'Chargers',b'Daredevils',b'5 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548321.html'
